[2020-12-16 00:36:09.848] [remoteagent] [info] 

*
* Visual Studio Code Server
*
* Reminder: You may only use this software with Visual Studio family products,
* as described in the license https://aka.ms/vscode-remote/license
*


[2020-12-17 11:11:26.609] [remoteagent] [info] [::ffff:172.23.32.1][1a7def6b][ExtensionHostConnection] The client has reconnected.
[2020-12-17 11:12:03.050] [remoteagent] [info] [::ffff:172.23.32.1][1a7def6b][ExtensionHostConnection] The client has reconnected.
[2020-12-17 11:12:04.069] [remoteagent] [info] [::ffff:172.23.32.1][8e6b85f0][ManagementConnection] The client has reconnected.
[2020-12-17 11:13:26.652] [remoteagent] [info] [::ffff:172.23.32.1][1a7def6b][ExtensionHostConnection] The client has reconnected.
[2020-12-17 11:13:27.685] [remoteagent] [info] [::ffff:172.23.32.1][8e6b85f0][ManagementConnection] The client has reconnected.
[2020-12-17 11:18:44.828] [remoteagent] [info] [::ffff:172.23.32.1][1a7def6b][ExtensionHostConnection] The client has reconnected.
[2020-12-17 11:18:45.802] [remoteagent] [info] [::ffff:172.23.32.1][8e6b85f0][ManagementConnection] The client has reconnected.
[2020-12-17 11:30:05.587] [remoteagent] [info] [::ffff:172.23.32.1][8e6b85f0][ManagementConnection] The client has reconnected.
[2020-12-17 11:30:10.064] [remoteagent] [info] [::ffff:172.23.32.1][1a7def6b][ExtensionHostConnection] The client has reconnected.
[2020-12-17 11:46:23.827] [remoteagent] [info] [::ffff:172.23.32.1][8e6b85f0][ManagementConnection] The client has reconnected.
